image_path,true_index,true_class,pred_index,pred_class,correct,confidence_before,confidence_after,entropy_before,entropy_after
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_684.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.96272653,0.9996145,0.18633278,0.003490343
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_704.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.98391783,0.99998844,0.11300533,0.0001603321
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_707.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.6460108,0.95677775,1.3029945,0.21018337
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.82539636,0.98967886,0.67948323,0.062556654
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_712.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.4796824,0.54890376,1.0708164,0.70018804
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_725.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.67081344,0.9407505,1.0611187,0.25635713
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_726.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.99620986,0.99999857,0.028436195,2.1419983e-05
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.205426,0.37825105,2.3231065,1.6871393
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_734.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.8692822,0.99438536,0.55404836,0.036121912
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_736.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.98752093,0.9999883,0.087528504,0.00015233389
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_765.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.963884,0.9999218,0.22950472,0.00089736603
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_766.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.9597203,0.99989915,0.24423082,0.0011718889
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_767.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.8681339,0.9972108,0.6146282,0.021470461
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_774.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.99723816,0.9999999,0.024707856,3.2682842e-06
