image_path,true_index,true_class,pred_index,pred_class,correct,calibrated_confidence,predictive_entropy,confidence_rank,entropy_rank,Model,image_key,true_class_pretty,pred_class_pretty,confusion_pair,confidence_band,accepted_at_95pct_coverage,rejected_at_95pct_coverage,accepted_at_90pct_coverage,rejected_at_90pct_coverage,accepted_at_80pct_coverage,rejected_at_80pct_coverage,accepted_at_70pct_coverage,rejected_at_70pct_coverage,confidence_before,confidence_after,entropy_before,entropy_after,error_rank_by_confidence,pred_CAM_concentration50,true_CAM_concentration50,shared_error_across_models,recurrent_confusion_pair,failure_tags
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.9896788597106934,0.062556654214859,121,121,ResNet50_Finetuned,class_10_lippia_alba/image_708.jpg,Lippia Alba,Chinese Water Spinach,Lippia Alba -> Chinese Water Spinach,High (>=0.95),True,False,True,False,True,False,False,True,0.82539636,0.98967886,0.67948323,0.062556654,1,0.2155412946428571,0.1556521045918367,True,True,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_991.jpg,4,Class_14_kachuripana,5,Class_1_water_iris,False,0.3943334519863128,1.458810806274414,156,156,ResNet50_Finetuned,class_14_kachuripana/image_991.jpg,Kachuripana,Water Iris,Kachuripana -> Water Iris,Lower (<0.80),False,True,False,True,False,True,False,True,0.25305572,0.39433345,1.9719863,1.4588108,6,0.1216119260204081,0.0676020408163265,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_992.jpg,4,Class_14_kachuripana,12,Class_8_water_plantain,False,0.6974825859069824,0.968070387840271,149,153,ResNet50_Finetuned,class_14_kachuripana/image_992.jpg,Kachuripana,Water Plantain,Kachuripana -> Water Plantain,Lower (<0.80),True,False,False,True,False,True,False,True,0.38751337,0.6974826,1.7457364,0.9680704,4,0.1220304528061224,0.1066047512755102,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_2_pistia_stratiotes/image_75.jpg,6,Class_2_pistia_stratiotes,0,Class_10_lippia_alba,False,0.755275309085846,0.6744877099990845,147,148,ResNet50_Finetuned,class_2_pistia_stratiotes/image_75.jpg,Pistia Stratiotes,Lippia Alba,Pistia Stratiotes -> Lippia Alba,Lower (<0.80),True,False,False,True,False,True,False,True,0.51442707,0.7552753,1.2176131,0.6744877,3,0.1145567602040816,0.1067243303571428,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,11,Class_7_chinese_water_spinach,5,Class_1_water_iris,False,0.775156557559967,0.6185622215270996,146,147,ResNet50_Finetuned,class_7_chinese_water_spinach/image_493.jpg,Chinese Water Spinach,Water Iris,Chinese Water Spinach -> Water Iris,Lower (<0.80),True,False,False,True,False,True,False,True,0.51712054,0.77515656,1.3256223,0.6185622,2,0.0843630420918367,0.1394889987244898,True,False,Shared cross-model hard sample; Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_9_mexican_sword_lily/image_622.jpg,13,Class_9_mexican_sword_lily,12,Class_8_water_plantain,False,0.5819410085678101,0.9922497272491456,152,154,ResNet50_Finetuned,class_9_mexican_sword_lily/image_622.jpg,Mexican Sword Lily,Water Plantain,Mexican Sword Lily -> Water Plantain,Lower (<0.80),False,True,False,True,False,True,False,True,0.39578187,0.581941,1.4890057,0.9922497,5,0.1118263711734693,0.1450892857142857,True,True,Shared cross-model hard sample; Recurrent class-confusion pair; Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.9774914979934692,0.1099805682897567,130,129,EfficientNetB0_Finetuned,class_10_lippia_alba/image_708.jpg,Lippia Alba,Chinese Water Spinach,Lippia Alba -> Chinese Water Spinach,High (>=0.95),True,False,True,False,False,True,False,True,0.88667184,0.9774915,0.4371949,0.10998057,2,0.3023158482142857,0.3444276147959184,True,True,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_712.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.9989274144172668,0.009621100500226,96,96,EfficientNetB0_Finetuned,class_10_lippia_alba/image_712.jpg,Lippia Alba,Chinese Water Spinach,Lippia Alba -> Chinese Water Spinach,High (>=0.95),True,False,True,False,True,False,True,False,0.96691495,0.9989274,0.20719767,0.0096211005,1,0.2670798788265306,0.2410116390306122,False,True,Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_793.jpg,1,Class_11_marsilea_minuta,9,Class_5_water_popy,False,0.5245881080627441,1.4945186376571655,153,156,EfficientNetB0_Finetuned,class_11_marsilea_minuta/image_793.jpg,Marsilea Minuta,Water Popy,Marsilea Minuta -> Water Popy,Lower (<0.80),False,True,False,True,False,True,False,True,0.3280484,0.5245881,1.9990447,1.4945186,4,0.2395766900510204,0.1289859693877551,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_813.jpg,1,Class_11_marsilea_minuta,10,Class_6_salvania,False,0.4454332888126373,1.1597213745117188,156,154,EfficientNetB0_Finetuned,class_11_marsilea_minuta/image_813.jpg,Marsilea Minuta,Salvania,Marsilea Minuta -> Salvania,Lower (<0.80),False,True,False,True,False,True,False,True,0.33356974,0.4454333,1.8157473,1.1597214,7,0.3058633609693877,0.3128188775510204,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_1_water_iris/image_37.jpg,5,Class_1_water_iris,13,Class_9_mexican_sword_lily,False,0.4807360768318176,0.971571445465088,154,152,EfficientNetB0_Finetuned,class_1_water_iris/image_37.jpg,Water Iris,Mexican Sword Lily,Water Iris -> Mexican Sword Lily,Lower (<0.80),False,True,False,True,False,True,False,True,0.39962772,0.48073608,1.3849268,0.97157145,5,0.0660873724489796,0.2170958227040816,False,False,Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,11,Class_7_chinese_water_spinach,0,Class_10_lippia_alba,False,0.464403361082077,1.4103447198867798,155,155,EfficientNetB0_Finetuned,class_7_chinese_water_spinach/image_493.jpg,Chinese Water Spinach,Lippia Alba,Chinese Water Spinach -> Lippia Alba,Lower (<0.80),False,True,False,True,False,True,False,True,0.3205733,0.46440336,1.8782928,1.4103447,6,0.2302096619897959,0.2572146045918367,True,False,Shared cross-model hard sample; Rejected by ~90% selective coverage
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_9_mexican_sword_lily/image_622.jpg,13,Class_9_mexican_sword_lily,12,Class_8_water_plantain,False,0.9567784667015076,0.2500949501991272,137,138,EfficientNetB0_Finetuned,class_9_mexican_sword_lily/image_622.jpg,Mexican Sword Lily,Water Plantain,Mexican Sword Lily -> Water Plantain,High (>=0.95),True,False,True,False,False,True,False,True,0.7464527,0.95677847,1.0482361,0.25009495,3,0.1385124362244898,0.1734295280612245,True,True,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
