image_path,true_index,true_class,pred_index,pred_class,correct,confidence_before,confidence_after,entropy_before,entropy_after
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_684.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.9782739,0.9991749,0.12764142,0.0072587845
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_704.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.94065976,0.9973278,0.33921316,0.022545181
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_707.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.67812365,0.9061959,1.1603105,0.41915745
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.88667184,0.9774915,0.4371949,0.10998057
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_712.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.96691495,0.9989274,0.20719767,0.0096211005
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_725.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.78246814,0.95650715,0.85425484,0.22484691
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_726.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.99296004,0.9999331,0.05537217,0.0008042945
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.9995968,0.99999905,0.003928038,1.5077251e-05
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_734.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.9932287,0.9999248,0.05146123,0.000883862
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_736.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.9537209,0.99749494,0.25654766,0.019714281
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_765.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.9970624,0.99998426,0.025751814,0.00020875725
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_766.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.99616724,0.9999746,0.031823937,0.00033163032
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_767.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.99497074,0.99995613,0.040464755,0.0005335216
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_774.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.99449205,0.9999429,0.042622227,0.00067661365
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_775.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.87427527,0.9835259,0.5659014,0.09543233
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_786.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.74212635,0.95256877,1.0693207,0.25848266
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_793.jpg,1,Class_11_marsilea_minuta,9,Class_5_water_popy,False,0.3280484,0.5245881,1.9990447,1.4945186
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_801.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.40501994,0.62353253,1.8130499,1.1596435
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_813.jpg,1,Class_11_marsilea_minuta,10,Class_6_salvania,False,0.33356974,0.4454333,1.8157473,1.1597214
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_820.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.99595684,0.9999633,0.03245935,0.00044010993
/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_828.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.9962006,0.999974,0.031463966,0.00033459853
