Model,case_number,case_type,image_path,true_class,pred_class,correct,calibrated_confidence,predictive_entropy,pred_CAM_concentration50,pred_CAM_peak_x_norm,pred_CAM_peak_y_norm,true_CAM_concentration50,true_CAM_peak_x_norm,true_CAM_peak_y_norm
ResNet50_Finetuned,1,High-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_12_duck_weeds/image_838.jpg,Class_12_duck_weeds,Class_12_duck_weeds,True,1.0,2.817669610521989e-06,0.17307079081632654,0.5022421524663677,0.4977578475336323,0.17307079081632654,0.5022421524663677,0.4977578475336323
ResNet50_Finetuned,2,High-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_3_lily_leaf/image_213.jpg,Class_3_lily_leaf,Class_3_lily_leaf,True,1.0,4.471520043125565e-09,0.22439014668367346,0.4977578475336323,0.6412556053811659,0.22439014668367346,0.4977578475336323,0.6412556053811659
ResNet50_Finetuned,3,Low-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,Class_10_lippia_alba,Class_10_lippia_alba,True,0.3782510459423065,1.6871392726898191,0.13942920918367346,0.5022421524663677,0.7892376681614349,0.13942920918367346,0.5022421524663677,0.7892376681614349
ResNet50_Finetuned,4,Low-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_786.jpg,Class_11_marsilea_minuta,Class_11_marsilea_minuta,True,0.5434344410896301,1.1238442659378052,0.12525908801020408,0.0,0.9327354260089686,0.12525908801020408,0.0,0.9327354260089686
ResNet50_Finetuned,5,High-confidence error,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,False,0.9896788597106934,0.062556654214859,0.21554129464285715,0.21524663677130046,0.9327354260089686,0.15565210459183673,0.6412556053811659,0.5022421524663677
ResNet50_Finetuned,6,High-confidence error,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,Class_7_chinese_water_spinach,Class_1_water_iris,False,0.775156557559967,0.6185622215270996,0.08436304209183673,0.5022421524663677,0.9327354260089686,0.1394889987244898,0.21076233183856502,0.0
EfficientNetB0_Finetuned,1,High-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_5_water_popy/image_358.jpg,Class_5_water_popy,Class_5_water_popy,True,0.9999997615814208,3.989224296674365e-06,0.24400111607142858,0.35874439461883406,0.35874439461883406,0.24400111607142858,0.35874439461883406,0.35874439461883406
EfficientNetB0_Finetuned,2,High-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,Class_10_lippia_alba,Class_10_lippia_alba,True,0.9999990463256836,1.5077251191542018e-05,0.2841198979591837,0.5022421524663677,0.9327354260089686,0.2841198979591837,0.5022421524663677,0.9327354260089686
EfficientNetB0_Finetuned,3,Low-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_992.jpg,Class_14_kachuripana,Class_14_kachuripana,True,0.3010505139827728,1.8101458549499512,0.1613719706632653,0.6412556053811659,0.3542600896860987,0.1613719706632653,0.6412556053811659,0.3542600896860987
EfficientNetB0_Finetuned,4,Low-confidence correct,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_801.jpg,Class_11_marsilea_minuta,Class_11_marsilea_minuta,True,0.6235325336456299,1.159643530845642,0.27993463010204084,0.7847533632286996,0.9327354260089686,0.27993463010204084,0.7847533632286996,0.9327354260089686
EfficientNetB0_Finetuned,5,High-confidence error,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_712.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,False,0.9989274144172668,0.009621100500226,0.2670798788265306,0.35874439461883406,0.21524663677130046,0.24101163903061223,0.7847533632286996,0.35874439461883406
EfficientNetB0_Finetuned,6,High-confidence error,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,False,0.9774914979934692,0.1099805682897567,0.3023158482142857,0.4977578475336323,0.6412556053811659,0.3444276147959184,0.35874439461883406,0.21076233183856502
