Model,error_rank_by_confidence,image_path,true_class,pred_class,calibrated_confidence,predictive_entropy,pred_CAM_concentration50,true_CAM_concentration50
ResNet50_Finetuned,1,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,0.9896788597106934,0.062556654214859,0.21554129464285715,0.15565210459183673
ResNet50_Finetuned,2,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,Class_7_chinese_water_spinach,Class_1_water_iris,0.775156557559967,0.6185622215270996,0.08436304209183673,0.1394889987244898
ResNet50_Finetuned,3,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_2_pistia_stratiotes/image_75.jpg,Class_2_pistia_stratiotes,Class_10_lippia_alba,0.755275309085846,0.6744877099990845,0.11455676020408163,0.10672433035714286
ResNet50_Finetuned,4,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_992.jpg,Class_14_kachuripana,Class_8_water_plantain,0.6974825859069824,0.968070387840271,0.12203045280612244,0.10660475127551021
ResNet50_Finetuned,5,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_9_mexican_sword_lily/image_622.jpg,Class_9_mexican_sword_lily,Class_8_water_plantain,0.5819410085678101,0.9922497272491456,0.11182637117346939,0.14508928571428573
ResNet50_Finetuned,6,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_991.jpg,Class_14_kachuripana,Class_1_water_iris,0.3943334519863128,1.458810806274414,0.12161192602040816,0.06760204081632654
EfficientNetB0_Finetuned,1,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_712.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,0.9989274144172668,0.009621100500226,0.2670798788265306,0.24101163903061223
EfficientNetB0_Finetuned,2,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,Class_10_lippia_alba,Class_7_chinese_water_spinach,0.9774914979934692,0.1099805682897567,0.3023158482142857,0.3444276147959184
EfficientNetB0_Finetuned,3,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_9_mexican_sword_lily/image_622.jpg,Class_9_mexican_sword_lily,Class_8_water_plantain,0.9567784667015076,0.2500949501991272,0.1385124362244898,0.1734295280612245
EfficientNetB0_Finetuned,4,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_793.jpg,Class_11_marsilea_minuta,Class_5_water_popy,0.5245881080627441,1.4945186376571655,0.23957669005102042,0.1289859693877551
EfficientNetB0_Finetuned,5,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_1_water_iris/image_37.jpg,Class_1_water_iris,Class_9_mexican_sword_lily,0.4807360768318176,0.971571445465088,0.0660873724489796,0.21709582270408162
EfficientNetB0_Finetuned,6,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,Class_7_chinese_water_spinach,Class_10_lippia_alba,0.464403361082077,1.4103447198867798,0.23020966198979592,0.25721460459183676
EfficientNetB0_Finetuned,7,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_813.jpg,Class_11_marsilea_minuta,Class_6_salvania,0.4454332888126373,1.1597213745117188,0.30586336096938777,0.3128188775510204
