Model,image_key,true_class_pretty,pred_class_pretty,calibrated_confidence,predictive_entropy,confidence_band,shared_error_across_models,recurrent_confusion_pair,accepted_at_90pct_coverage,accepted_at_80pct_coverage,pred_CAM_concentration50,true_CAM_concentration50,discussion_priority_reason
ResNet50_Finetuned,class_10_lippia_alba/image_708.jpg,Lippia Alba,Chinese Water Spinach,0.9896788597106934,0.062556654214859,High (>=0.95),True,True,True,True,0.2155412946428571,0.1556521045918367,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
EfficientNetB0_Finetuned,class_10_lippia_alba/image_708.jpg,Lippia Alba,Chinese Water Spinach,0.9774914979934692,0.1099805682897567,High (>=0.95),True,True,True,False,0.3023158482142857,0.3444276147959184,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
EfficientNetB0_Finetuned,class_9_mexican_sword_lily/image_622.jpg,Mexican Sword Lily,Water Plantain,0.9567784667015076,0.2500949501991272,High (>=0.95),True,True,True,False,0.1385124362244898,0.1734295280612245,Shared cross-model hard sample; Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
EfficientNetB0_Finetuned,class_10_lippia_alba/image_712.jpg,Lippia Alba,Chinese Water Spinach,0.9989274144172668,0.009621100500226,High (>=0.95),False,True,True,True,0.2670798788265306,0.2410116390306122,Recurrent class-confusion pair; High-confidence error; Survives ~90% selective coverage
ResNet50_Finetuned,class_9_mexican_sword_lily/image_622.jpg,Mexican Sword Lily,Water Plantain,0.5819410085678101,0.9922497272491456,Lower (<0.80),True,True,False,False,0.1118263711734693,0.1450892857142857,Shared cross-model hard sample; Recurrent class-confusion pair; Rejected by ~90% selective coverage
ResNet50_Finetuned,class_7_chinese_water_spinach/image_493.jpg,Chinese Water Spinach,Water Iris,0.775156557559967,0.6185622215270996,Lower (<0.80),True,False,False,False,0.0843630420918367,0.1394889987244898,Shared cross-model hard sample; Rejected by ~90% selective coverage
EfficientNetB0_Finetuned,class_7_chinese_water_spinach/image_493.jpg,Chinese Water Spinach,Lippia Alba,0.464403361082077,1.4103447198867798,Lower (<0.80),True,False,False,False,0.2302096619897959,0.2572146045918367,Shared cross-model hard sample; Rejected by ~90% selective coverage
ResNet50_Finetuned,class_2_pistia_stratiotes/image_75.jpg,Pistia Stratiotes,Lippia Alba,0.755275309085846,0.6744877099990845,Lower (<0.80),False,False,False,False,0.1145567602040816,0.1067243303571428,Rejected by ~90% selective coverage
ResNet50_Finetuned,class_14_kachuripana/image_992.jpg,Kachuripana,Water Plantain,0.6974825859069824,0.968070387840271,Lower (<0.80),False,False,False,False,0.1220304528061224,0.1066047512755102,Rejected by ~90% selective coverage
EfficientNetB0_Finetuned,class_11_marsilea_minuta/image_793.jpg,Marsilea Minuta,Water Popy,0.5245881080627441,1.4945186376571655,Lower (<0.80),False,False,False,False,0.2395766900510204,0.1289859693877551,Rejected by ~90% selective coverage
EfficientNetB0_Finetuned,class_1_water_iris/image_37.jpg,Water Iris,Mexican Sword Lily,0.4807360768318176,0.971571445465088,Lower (<0.80),False,False,False,False,0.0660873724489796,0.2170958227040816,Rejected by ~90% selective coverage
EfficientNetB0_Finetuned,class_11_marsilea_minuta/image_813.jpg,Marsilea Minuta,Salvania,0.4454332888126373,1.1597213745117188,Lower (<0.80),False,False,False,False,0.3058633609693877,0.3128188775510204,Rejected by ~90% selective coverage
ResNet50_Finetuned,class_14_kachuripana/image_991.jpg,Kachuripana,Water Iris,0.3943334519863128,1.458810806274414,Lower (<0.80),False,False,False,False,0.1216119260204081,0.0676020408163265,Rejected by ~90% selective coverage
