group_id,class,file
1,Class_10_lippia_alba,image_690.jpg
1,Class_10_lippia_alba,image_742.jpg
2,Class_10_lippia_alba,image_691.jpg
2,Class_10_lippia_alba,image_743.jpg
3,Class_10_lippia_alba,image_692.jpg
3,Class_10_lippia_alba,image_738.jpg
4,Class_10_lippia_alba,image_693.jpg
4,Class_10_lippia_alba,image_739.jpg
5,Class_10_lippia_alba,image_694.jpg
5,Class_10_lippia_alba,image_741.jpg
6,Class_10_lippia_alba,image_698.jpg
6,Class_10_lippia_alba,image_751.jpg
7,Class_10_lippia_alba,image_699.jpg
7,Class_10_lippia_alba,image_746.jpg
8,Class_10_lippia_alba,image_700.jpg
8,Class_10_lippia_alba,image_747.jpg
9,Class_10_lippia_alba,image_701.jpg
9,Class_10_lippia_alba,image_749.jpg
10,Class_11_marsilea_minuta,image_762.jpg
10,Class_11_marsilea_minuta,image_822.jpg
11,Class_11_marsilea_minuta,image_763.jpg
11,Class_11_marsilea_minuta,image_823.jpg
12,Class_11_marsilea_minuta,image_764.jpg
12,Class_11_marsilea_minuta,image_821.jpg
13,Class_11_marsilea_minuta,image_766.jpg
13,Class_11_marsilea_minuta,image_828.jpg
14,Class_11_marsilea_minuta,image_770.jpg
14,Class_11_marsilea_minuta,image_827.jpg
15,Class_12_duck_weeds,image_846.jpg
15,Class_12_duck_weeds,image_880.jpg
16,Class_12_duck_weeds,image_847.jpg
16,Class_12_duck_weeds,image_881.jpg
17,Class_12_duck_weeds,image_848.jpg
17,Class_12_duck_weeds,image_876.jpg
18,Class_12_duck_weeds,image_849.jpg
18,Class_12_duck_weeds,image_877.jpg
19,Class_12_duck_weeds,image_850.jpg
19,Class_12_duck_weeds,image_879.jpg
20,Class_12_duck_weeds,image_852.jpg
20,Class_12_duck_weeds,image_894.jpg
21,Class_12_duck_weeds,image_853.jpg
21,Class_12_duck_weeds,image_895.jpg
22,Class_12_duck_weeds,image_854.jpg
22,Class_12_duck_weeds,image_890.jpg
23,Class_12_duck_weeds,image_855.jpg
23,Class_12_duck_weeds,image_891.jpg
24,Class_12_duck_weeds,image_856.jpg
24,Class_12_duck_weeds,image_893.jpg
25,Class_14_kachuripana,image_1010.jpg
25,Class_14_kachuripana,image_1055.jpg
26,Class_14_kachuripana,image_1011.jpg
26,Class_14_kachuripana,image_1056.jpg
27,Class_14_kachuripana,image_1012.jpg
27,Class_14_kachuripana,image_1051.jpg
28,Class_14_kachuripana,image_1013.jpg
28,Class_14_kachuripana,image_1052.jpg
29,Class_14_kachuripana,image_1014.jpg
29,Class_14_kachuripana,image_1054.jpg
30,Class_5_water_popy,image_312.jpg
30,Class_5_water_popy,image_357.jpg
31,Class_5_water_popy,image_322.jpg
31,Class_5_water_popy,image_356.jpg
32,Class_5_water_popy,image_323.jpg
32,Class_5_water_popy,image_352.jpg
33,Class_5_water_popy,image_324.jpg
33,Class_5_water_popy,image_353.jpg
34,Class_5_water_popy,image_325.jpg
34,Class_5_water_popy,image_355.jpg
35,Class_5_water_popy,image_333.jpg
35,Class_5_water_popy,image_348.jpg
36,Class_5_water_popy,image_334.jpg
36,Class_5_water_popy,image_349.jpg
37,Class_5_water_popy,image_335.jpg
37,Class_5_water_popy,image_344.jpg
38,Class_5_water_popy,image_336.jpg
38,Class_5_water_popy,image_345.jpg
39,Class_5_water_popy,image_337.jpg
39,Class_5_water_popy,image_347.jpg
40,Class_6_salvania,image_413.jpg
40,Class_6_salvania,image_435.jpg
41,Class_6_salvania,image_414.jpg
41,Class_6_salvania,image_436.jpg
42,Class_6_salvania,image_415.jpg
42,Class_6_salvania,image_437.jpg
43,Class_6_salvania,image_416.jpg
43,Class_6_salvania,image_438.jpg
44,Class_6_salvania,image_418.jpg
44,Class_6_salvania,image_434.jpg
45,Class_6_salvania,image_425.jpg
45,Class_6_salvania,image_457.jpg
46,Class_6_salvania,image_426.jpg
46,Class_6_salvania,image_458.jpg
47,Class_6_salvania,image_427.jpg
47,Class_6_salvania,image_459.jpg
48,Class_6_salvania,image_428.jpg
48,Class_6_salvania,image_460.jpg
49,Class_6_salvania,image_430.jpg
49,Class_6_salvania,image_456.jpg
50,Class_7_chinese_water_spinach,image_474.jpg
50,Class_7_chinese_water_spinach,image_515.jpg
51,Class_7_chinese_water_spinach,image_475.jpg
51,Class_7_chinese_water_spinach,image_516.jpg
52,Class_7_chinese_water_spinach,image_476.jpg
52,Class_7_chinese_water_spinach,image_518.jpg
53,Class_7_chinese_water_spinach,image_484.jpg
53,Class_7_chinese_water_spinach,image_525.jpg
54,Class_7_chinese_water_spinach,image_486.jpg
54,Class_7_chinese_water_spinach,image_521.jpg
55,Class_7_chinese_water_spinach,image_487.jpg
55,Class_7_chinese_water_spinach,image_522.jpg
56,Class_7_chinese_water_spinach,image_488.jpg
56,Class_7_chinese_water_spinach,image_524.jpg
57,Class_9_mexican_sword_lily,image_611.jpg
57,Class_9_mexican_sword_lily,image_679.jpg
58,Class_9_mexican_sword_lily,image_613.jpg
58,Class_9_mexican_sword_lily,image_675.jpg
59,Class_9_mexican_sword_lily,image_614.jpg
59,Class_9_mexican_sword_lily,image_676.jpg
60,Class_9_mexican_sword_lily,image_615.jpg
60,Class_9_mexican_sword_lily,image_678.jpg
